disease,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
hepatocellular carcinoma,-0.18634388,-0.3952232,0.2625938,-0.17069863,-0.29516792,-0.2655059,0.16643672,0.24740322,0.6070806,0.16620171,0.51791924,-0.4586508,0.42339393,-0.036382284,-0.13415647,0.4138021,0.28212142,-0.049052097,0.07274461,0.17559461,0.24054448,-0.02849214,0.14831114,-0.09695937,-0.3522747,0.023164803,-0.043634463,-0.4298057,-0.5829713,0.15029159,-0.3359634,-0.7804887,-0.9878099,-0.18140493,0.13654935,-0.60049367,0.22103788,0.42596045,0.03157719,-0.8241992,-0.11587763,0.41903272,1.0582247,0.25245634,0.7063519,-0.30723065,-0.2737915,-0.42206803,0.34616444,0.19676839,0.7231713,-0.26522726,0.6722706,-0.21171689,-0.29551888,0.53087413,-0.7439101,-0.03692335,0.028034125,0.2659826,-0.5521633,0.5155353,0.013643491,-0.20840666,-0.8837231,0.87318444,-0.2629883,-0.16040051,0.12610956,0.060324833,-0.05837854,0.16083361,-0.14067572,0.002965083,0.4979415,0.3854645,-0.71330124,0.42884237,0.47753608,-0.06283403,-0.7620414,0.71211255,-0.30814743,0.70035875,-0.31449765,0.28137144,-0.26805547,0.22850113,0.27357125,-0.5638538,0.13308375,0.2758927,0.22755706,-0.35151222,-0.1153743,0.087109275,0.38410187,0.17322586,0.49502036,-0.08119938,0.3102534,0.30077562,0.19441031,-0.2837342,0.09335199,-0.58790016,-0.18677795,0.5601084,-0.47354135,-0.3806906,0.6854755,-0.69018286,-0.025510324,-0.16078003,0.30087143,0.8803663,0.08026076,0.83880734,0.3122514,0.20365694,-0.5421047,0.5082428,0.48434597,-0.010562289,-0.12691954,0.073830515,0.02282718,0.35132232,0.19286476,0.17351602,-0.43296325,-0.38463134,0.27445284,-0.33842346,0.028924912,0.6431255,-0.22546889,0.5272233,0.098585665,-0.017135225,0.1913005,0.18434499,0.20974149,0.028449064,-0.15342239,-0.09864693,-0.44431296,0.46073455,0.2791498,0.4968085,0.28868413,-0.55184764,0.40503484,0.4006095,0.2633093,-0.12764545,0.017633425,-0.6665375,-0.31115085,-0.8323597,0.20796472,1.1160451,-0.23925582,0.6717509,-0.24442051,0.084159024,0.28326625,-0.24252263,-0.28110704,-0.03986282,-0.22977962,-0.8933742,-0.5287392,0.43509972,-0.29272237,0.33897734,0.34428984,0.11903181,-0.1263705,-0.22765018,0.26201892,0.07458619,0.11989104,-0.26604724,-0.3774195,-0.39087737,0.6437687,0.24082275,0.43486065,0.17970513,-0.3292737,-0.19730668,-0.49613285,0.55224097,0.39989796,0.44125336,0.5168543,0.05180254,-0.45466623,-0.036445584,0.07605453,0.41355568,-0.25524437,0.14355516,0.0063747647,0.05220499,0.5674772,-0.2393587,-0.5677046,0.18251884,-0.752207,-0.06953264,0.24936989,-0.42130867,0.12440012,-0.23204693,0.78115404,-0.022421746,0.20976743,-0.17694819,0.30371538,0.25492626,-0.40360337,0.6186871,-0.30186284,0.01454706,0.14167482,-0.009648827,-0.44257453,-0.13642664,0.8610716,-0.12204874,0.24154754,0.14711985,0.09251931,0.585668,0.17841195,-0.36420217,-0.92465764,0.30240643,-0.8206285,-0.4203569,0.14487383,0.63728666,-0.25041997,-0.39706603,-0.054613397,0.29153055,0.08739769,0.17700891,-0.56100625,0.27005202,-0.9428472,0.06840766,0.040118434,-0.040751528
lung adenocarcinoma cancer,-0.22072452,-0.46814224,0.31104228,-0.2021927,-0.34962702,-0.31449187,0.19714437,0.29304934,0.71908695,0.19686599,0.61347556,-0.54327214,0.5015103,-0.04309474,-0.15890808,0.4901485,0.33417293,-0.058102265,0.08616575,0.20799181,0.28492528,-0.033749375,0.17567466,-0.1148484,-0.41726938,0.027438657,-0.05168503,-0.50910515,-0.69052935,0.17802039,-0.39794925,-0.9244894,-1.1700609,-0.21487425,0.16174279,-0.7112853,0.26181912,0.5045505,0.037403293,-0.9762638,-0.13725722,0.4963446,1.2534683,0.29903412,0.8366743,-0.36391503,-0.32430592,-0.4999395,0.41003206,0.2330722,0.8565967,-0.3141616,0.7963053,-0.25077882,-0.3500421,0.6288207,-0.88116163,-0.043735754,0.03320631,0.3150565,-0.65403765,0.61065185,0.016160538,-0.24685724,-1.04677,1.0342877,-0.311509,-0.18999451,0.14937684,0.07145463,-0.06914926,0.19050744,-0.16663042,0.0035122344,0.5898118,0.45658275,-0.84490615,0.5079638,0.5656418,-0.07442684,-0.9026386,0.8434979,-0.36500072,0.8295755,-0.37252206,0.3332848,-0.31751192,0.27065948,0.3240453,-0.667885,0.15763755,0.3267952,0.26954135,-0.4163664,-0.13666081,0.103181,0.45496908,0.20518622,0.58635217,-0.09618058,0.3674954,0.35626885,0.23027922,-0.33608335,0.110575475,-0.6963681,-0.2212391,0.663449,-0.56091,-0.45092845,0.81194633,-0.81752145,-0.030216867,-0.19044411,0.35638222,1.0427942,0.09506893,0.9935678,0.3698618,0.24123165,-0.6421232,0.6020136,0.5737079,-0.0125108715,-0.15033628,0.087452315,0.027038766,0.41614154,0.22844806,0.20552984,-0.5128454,-0.4555957,0.32508993,-0.40086272,0.034261607,0.76178235,-0.26706827,0.6244961,0.11677488,-0.020296736,0.22659525,0.21835665,0.24843898,0.033697944,-0.18172881,-0.11684736,-0.52628917,0.5457404,0.33065334,0.5884699,0.34194648,-0.6536637,0.4797639,0.47452193,0.31189013,-0.15119585,0.020886732,-0.7895138,-0.36855844,-0.98593014,0.24633417,1.3219557,-0.28339893,0.79568934,-0.28951624,0.09968652,0.33552873,-0.28726843,-0.33297122,-0.047217537,-0.27217382,-1.0582019,-0.6262918,0.515376,-0.34672952,0.4015186,0.4078116,0.14099318,-0.14968592,-0.26965177,0.31036147,0.08834707,0.1420109,-0.31513336,-0.44705358,-0.4629945,0.76254433,0.28525445,0.5150929,0.21286087,-0.39002523,-0.23370972,-0.58766943,0.65413,0.47367963,0.5226645,0.6122143,0.061360177,-0.53855246,-0.043169867,0.09008672,0.48985672,-0.30233666,0.1700411,0.007550927,0.061837025,0.67217726,-0.28352058,-0.6724466,0.21619369,-0.8909896,-0.08236159,0.29537868,-0.49903998,0.14735195,-0.27486,0.9252776,-0.026558578,0.24846959,-0.20959507,0.35975102,0.3019602,-0.47806832,0.7328347,-0.35755676,0.017231213,0.16781382,-0.011429173,-0.5242298,-0.16159739,1.0199401,-0.14456677,0.28611308,0.17426357,0.109589145,0.6937245,0.21132909,-0.4313977,-1.0952575,0.3582004,-0.97203475,-0.4979128,0.17160322,0.7548663,-0.2966229,-0.4703247,-0.06468963,0.34531835,0.10352283,0.20966712,-0.6645119,0.31987658,-1.1168029,0.081028886,0.04752025,-0.04827033
HER2+ positive cancer,-0.19957682,-0.42328957,0.28124148,-0.18282059,-0.3161293,-0.2843603,0.17825603,0.26497233,0.6501914,0.17800419,0.55469877,-0.49122128,0.45346072,-0.03896571,-0.1436831,0.4431875,0.30215597,-0.052535478,0.077910244,0.18806453,0.25762665,-0.030515833,0.15884328,-0.10384468,-0.37729096,0.024809886,-0.04673286,-0.46032786,-0.6243699,0.16096428,-0.3598217,-0.8359144,-1.0579581,-0.19428718,0.14624631,-0.64313734,0.2367343,0.45620945,0.03381974,-0.88272834,-0.12410653,0.4487901,1.1333739,0.27038446,0.756513,-0.3290484,-0.29323447,-0.4520407,0.37074703,0.21074174,0.7745263,-0.2840621,0.72001094,-0.22675182,-0.3165048,0.56857365,-0.79673815,-0.03954536,0.030024886,0.28487107,-0.59137475,0.5521456,0.0146124065,-0.22320625,-0.9464795,0.935193,-0.28166386,-0.17179132,0.135065,0.06460876,-0.062524006,0.17225489,-0.15066549,0.003175744,0.5333022,0.41283795,-0.76395565,0.45929614,0.5114479,-0.06729591,-0.8161572,0.7626825,-0.33003026,0.75009435,-0.33683082,0.30135304,-0.28709102,0.2447279,0.29299858,-0.603895,0.14253423,0.29548493,0.24371688,-0.3764746,-0.12356729,0.093295306,0.41137856,0.18552732,0.5301741,-0.08696559,0.3322856,0.3221349,0.2082163,-0.30388334,0.099981315,-0.6296492,-0.20004208,0.5998838,-0.50716937,-0.4077251,0.73415434,-0.7391952,-0.027321976,-0.17219761,0.32223743,0.94288474,0.085960306,0.8983744,0.33442548,0.21811932,-0.5806019,0.54433507,0.51874113,-0.011312549,-0.1359325,0.079073735,0.024448307,0.37627092,0.2065607,0.18583804,-0.4637098,-0.41194567,0.29394338,-0.3624561,0.03097905,0.6887966,-0.2414802,0.56466335,0.10558689,-0.018352294,0.20488545,0.19743618,0.22463606,0.030469356,-0.16431749,-0.10565198,-0.4758655,0.49345315,0.29897335,0.53208864,0.3091848,-0.59103644,0.43379784,0.42905805,0.28200805,-0.13671,0.018885588,-0.71387076,-0.33324686,-0.8914693,0.22273298,1.1952993,-0.25624683,0.7194548,-0.2617776,0.09013541,0.303382,-0.25974518,-0.3010692,-0.04269369,-0.24609697,-0.95681614,-0.56628686,0.46599776,-0.31350967,0.36304942,0.36873928,0.12748452,-0.13534455,-0.24381642,0.280626,0.079882726,0.12840495,-0.28494036,-0.40422145,-0.41863492,0.689485,0.25792435,0.465742,0.1924667,-0.35265663,-0.21131825,-0.531365,0.59145814,0.42829636,0.4725885,0.5535581,0.05548135,-0.48695433,-0.039033603,0.08145553,0.44292346,-0.27336994,0.15374956,0.0068276087,0.05591229,0.6077761,-0.25635663,-0.6080195,0.19548033,-0.80562407,-0.07447044,0.2670785,-0.45122692,0.133234,-0.24852553,0.8366266,-0.024013933,0.22466367,-0.1895138,0.3252835,0.2730295,-0.4322648,0.66262203,-0.32329935,0.015580176,0.15173578,-0.010334044,-0.47400352,-0.1461149,0.92221963,-0.13071583,0.25870058,0.15756737,0.09908949,0.6272588,0.19108161,-0.39006588,-0.99032146,0.32388124,-0.8789042,-0.45020792,0.15516202,0.68254274,-0.26820335,-0.4252633,-0.058491778,0.31223342,0.09360418,0.18957894,-0.6008455,0.2892296,-1.0098027,0.073265575,0.042967442,-0.043645468
lung cancer,-0.093617596,-0.19855672,0.1319246,-0.08575755,-0.1482899,-0.1333878,0.083616346,0.124293074,0.30499172,0.08349827,0.2601981,-0.230422,0.21270928,-0.018278072,-0.06739904,0.2078904,0.1417352,-0.024643352,0.036546167,0.088217236,0.120847516,-0.014314293,0.074510105,-0.04871142,-0.1769796,0.011637777,-0.021921495,-0.21593058,-0.29287925,0.075505204,-0.16878504,-0.3921107,-0.49626648,-0.09113627,0.06860122,-0.3016827,0.11104734,0.21399863,0.01586426,-0.41407022,-0.058215916,0.2105183,0.5316427,0.12683178,0.35486475,-0.15434998,-0.13755037,-0.21204315,0.17390995,0.098854564,0.3633147,-0.1332478,0.3377426,-0.10636466,-0.14846598,0.26670647,-0.3737337,-0.018550009,0.014084031,0.13362724,-0.27740195,0.25900024,0.006854423,-0.10470152,-0.4439744,0.43868017,-0.13212296,-0.080583826,0.06335638,0.03030664,-0.029328812,0.08080123,-0.070674255,0.0014896125,0.25016138,0.1936539,-0.35835624,0.21544647,0.23990977,-0.031567235,-0.3828427,0.35775903,-0.15481047,0.35185403,-0.1580005,0.1413585,-0.13466865,0.11479691,0.1374398,-0.283275,0.06685999,0.13860601,0.11432252,-0.17659652,-0.05796296,0.043762885,0.1929694,0.087027185,0.24869387,-0.04079369,0.15586841,0.1511069,0.09767007,-0.14254545,0.046899136,-0.29535565,-0.09383572,0.28139344,-0.23790291,-0.19125548,0.34437698,-0.3467413,-0.012816182,-0.08077445,0.15115514,0.4422882,0.04032227,0.42140934,0.15687232,0.10231534,-0.27234876,0.25533658,0.24333097,-0.0053063817,-0.0637633,0.037091836,0.011468161,0.17650115,0.09689347,0.08717289,-0.21751705,-0.19323534,0.1378827,-0.17002091,0.014531656,0.32310048,-0.11327352,0.26487213,0.049528617,-0.008608693,0.09610763,0.09261326,0.10537225,0.014292505,-0.07707801,-0.049559336,-0.22321892,0.23146886,0.1402424,0.24959208,0.14503218,-0.27724332,0.20348582,0.20126246,0.13228433,-0.06412788,0.008858885,-0.33486226,-0.15631932,-0.41816998,0.10447957,0.560691,-0.12020008,0.33748177,-0.12279457,0.042280745,0.1423104,-0.1218413,-0.14122562,-0.020026753,-0.11543911,-0.448823,-0.26563382,0.21859014,-0.14706114,0.17029908,0.17296803,0.059800558,-0.063487455,-0.11436942,0.13163601,0.037471335,0.060232177,-0.13365982,-0.18961227,-0.19637331,0.32342362,0.12098712,0.21847007,0.09028225,-0.16542412,-0.09912509,-0.24925266,0.277441,0.20090519,0.22168164,0.25966296,0.026025137,-0.22842006,-0.018309824,0.038209036,0.20776643,-0.12823242,0.07212076,0.0032026493,0.02622738,0.28509563,-0.12025171,-0.28520972,0.09169589,-0.377902,-0.034932625,0.12528124,-0.21166146,0.06249738,-0.11657825,0.39244473,-0.011264454,0.10538528,-0.088897064,0.1525839,0.12807262,-0.20276679,0.3108228,-0.15165308,0.007308313,0.07117617,-0.0048474395,-0.22234537,-0.068539485,0.43259472,-0.061316174,0.121351235,0.073911645,0.046480857,0.29423442,0.08963262,-0.1829719,-0.46453974,0.15192616,-0.41227633,-0.21118347,0.07278339,0.32016712,-0.12580884,-0.1994824,-0.027437316,0.14646237,0.043907832,0.0889277,-0.28184435,0.13567163,-0.47367805,0.0343673,0.020155095,-0.020473162
liver cancer,-0.10144001,-0.21514761,0.1429479,-0.09292326,-0.16068056,-0.14453349,0.09060325,0.13467897,0.33047628,0.090475194,0.28193966,-0.24967565,0.23048298,-0.019805498,-0.0730307,0.2252613,0.15357839,-0.02670245,0.039599866,0.09558852,0.13094531,-0.015510371,0.08073603,-0.052781656,-0.1917676,0.012610228,-0.02375314,-0.23397341,-0.31735188,0.08181422,-0.18288846,-0.42487454,-0.5377338,-0.09875132,0.074333385,-0.3268908,0.12032634,0.23188002,0.017189724,-0.44866934,-0.06308051,0.22810873,0.57606566,0.13742945,0.38451678,-0.16724713,-0.14904378,-0.22976117,0.18844141,0.107114814,0.39367273,-0.14438163,0.36596403,-0.11525228,-0.16087174,0.28899193,-0.40496227,-0.020099977,0.015260862,0.14479277,-0.3005812,0.28064203,0.0074270507,-0.11345013,-0.48107213,0.4753354,-0.14316261,-0.08731713,0.06865035,0.032838874,-0.031779576,0.08755296,-0.07657953,0.0016142341,0.27106443,0.20983516,-0.38829967,0.23344879,0.25995633,-0.03420486,-0.4148323,0.3876527,-0.16774626,0.38125432,-0.17120284,0.15317026,-0.1459213,0.12438919,0.14892404,-0.30694517,0.072446726,0.15018776,0.12387513,-0.19135273,-0.06280633,0.047419608,0.20909353,0.0942991,0.2694744,-0.044202384,0.16889256,0.16373324,0.10583122,-0.1544563,0.050818056,-0.3200352,-0.10167635,0.3049065,-0.25778165,-0.2072366,0.37315243,-0.3757145,-0.013887095,-0.087523825,0.16378532,0.47924504,0.04369156,0.45662153,0.16998035,0.1108647,-0.29510558,0.276672,0.26366335,-0.005749978,-0.06909119,0.040191155,0.012426368,0.19124928,0.1049897,0.094456956,-0.23569217,-0.20938163,0.14940384,-0.18422759,0.015745863,0.3500981,-0.12273852,0.28700447,0.05366714,-0.009327933,0.10413829,0.1003518,0.11417694,0.015486745,-0.08351846,-0.053700313,-0.2418707,0.25080994,0.15196076,0.27044758,0.15715095,-0.30040938,0.22048868,0.21807961,0.14333768,-0.06948637,0.009599055,-0.3628429,-0.16938126,-0.4531117,0.11320968,0.6075412,-0.13024381,0.3656811,-0.13305515,0.04581372,0.15420154,-0.13202228,-0.15302618,-0.02170012,-0.12508492,-0.48632592,-0.28782964,0.23685521,-0.15934911,0.18452899,0.18742108,0.064797245,-0.068792224,-0.12392592,0.14263523,0.040602397,0.065265104,-0.14482813,-0.20545578,-0.2127819,0.3504482,0.13109662,0.23672508,0.09782601,-0.17924684,-0.1074078,-0.2700799,0.3006235,0.21769254,0.24020484,0.28135982,0.028199699,-0.24750668,-0.019839851,0.041401714,0.2251272,-0.13894722,0.0781471,0.0034701969,0.028418876,0.30891767,-0.13029967,-0.30904144,0.09935782,-0.4094789,-0.037851557,0.13574953,-0.22934763,0.06771958,-0.1263194,0.42523688,-0.012205744,0.11419103,-0.09632512,0.16533357,0.13877416,-0.21970955,0.33679456,-0.1643251,0.007919118,0.077123456,-0.0052527026,-0.24092424,-0.07426641,0.4687415,-0.0664396,0.13149118,0.080087684,0.050364718,0.3188202,0.09712221,-0.19826078,-0.5033556,0.16462092,-0.4467253,-0.2288294,0.07886502,0.34691963,-0.13632122,-0.2161509,-0.029730016,0.15870047,0.047576692,0.09635835,-0.30539486,0.14700824,-0.5132577,0.037239045,0.02183923,-0.02218397
pancreatic cancer,-0.17211172,-0.36503753,0.24253745,-0.15766126,-0.2726245,-0.24522744,0.15372492,0.22850737,0.5607137,0.1535078,0.47836247,-0.42362055,0.3910565,-0.033603415,-0.12390978,0.38219732,0.26057383,-0.045305833,0.067188516,0.16218342,0.22217283,-0.026316272,0.13698341,-0.08955386,-0.32536918,0.02139567,-0.04030186,-0.39697865,-0.53844583,0.13881281,-0.3103038,-0.7208774,-0.9123646,-0.16754991,0.12612033,-0.5546302,0.20415558,0.39342687,0.029165624,-0.7612498,-0.10702754,0.38702863,0.97740114,0.23317464,0.6524033,-0.2837656,-0.2528801,-0.38983193,0.31972566,0.18173996,0.66793793,-0.24497011,0.62092465,-0.19554672,-0.27294812,0.49032795,-0.6870927,-0.034103386,0.02589301,0.2456677,-0.5099909,0.4761605,0.012601488,-0.19248903,-0.81622696,0.80649376,-0.24290206,-0.14814977,0.116477795,0.055717334,-0.053919766,0.14854968,-0.12993146,0.002738746,0.45991024,0.3560241,-0.6588219,0.39608878,0.44106334,-0.05803486,-0.70383936,0.65772426,-0.28461224,0.6468681,-0.29047713,0.2598816,-0.24758239,0.21104893,0.25267667,-0.52078867,0.12291915,0.25482097,0.21017687,-0.32466492,-0.106562406,0.080455974,0.3547656,0.15999551,0.4572125,-0.07499756,0.28655717,0.27780357,0.17956182,-0.26206374,0.08622201,-0.5429984,-0.17251271,0.5173296,-0.43737382,-0.35161474,0.63312155,-0.6374689,-0.023561975,-0.14850028,0.27789187,0.8131269,0.07413083,0.7747424,0.28840256,0.18810229,-0.50070065,0.46942458,0.447353,-0.0097555,-0.117225885,0.06819161,0.021083748,0.32448944,0.17813432,0.16026337,-0.39989525,-0.35525432,0.25349143,-0.3125757,0.026715823,0.5940057,-0.20824835,0.48695555,0.091056086,-0.01582653,0.17668964,0.17026538,0.1937222,0.026276099,-0.14170448,-0.09111244,-0.41037798,0.42554522,0.25782937,0.45886415,0.26663527,-0.50969946,0.37409973,0.37001216,0.24319863,-0.117896214,0.016286625,-0.6156296,-0.28738642,-0.7687872,0.19208102,1.0308051,-0.22098252,0.6204449,-0.2257523,0.07773135,0.26163137,-0.22399983,-0.25963712,-0.036818292,-0.21222956,-0.8251407,-0.48835605,0.40186816,-0.27036524,0.3130873,0.31799415,0.10994052,-0.116718695,-0.210263,0.24200693,0.06888951,0.1107343,-0.24572764,-0.34859318,-0.3610235,0.59459966,0.22242959,0.40164748,0.16597988,-0.30412498,-0.18223688,-0.45823976,0.510063,0.36935523,0.4075519,0.4773786,0.047846105,-0.4199405,-0.033661865,0.0702459,0.3819694,-0.23574951,0.13259095,0.005887846,0.048217785,0.5241354,-0.2210774,-0.52434564,0.16857886,-0.69475615,-0.06422208,0.23032404,-0.38913065,0.114898644,-0.214324,0.7214921,-0.020709075,0.19374593,-0.16343333,0.2805187,0.23545577,-0.37277737,0.5714338,-0.2788076,0.013435954,0.13085414,-0.008911934,-0.4087722,-0.12600689,0.79530656,-0.112726964,0.22309895,0.13588329,0.085452914,0.5409369,0.16478547,-0.33638582,-0.8540352,0.2793097,-0.75795186,-0.388251,0.13380912,0.58861274,-0.23129377,-0.36673972,-0.050442263,0.26926443,0.08072248,0.16348946,-0.51815873,0.24942644,-0.87083626,0.06318282,0.037054185,-0.037639134
renal cell carcinoma cancer,-0.14028959,-0.2975455,0.19769435,-0.1285111,-0.22221838,-0.19988713,0.12530254,0.1862584,0.45704272,0.12512541,0.3899175,-0.34529683,0.31875384,-0.027390465,-0.10099983,0.3115323,0.21239617,-0.036929086,0.05476599,0.1321972,0.18109499,-0.021450585,0.1116564,-0.07299629,-0.26521134,0.017439732,-0.0328503,-0.32358095,-0.43889183,0.11314746,-0.2529315,-0.5875939,-0.74367636,-0.13657124,0.102801755,-0.4520839,0.16640884,0.32068598,0.023773067,-0.6205014,-0.087239,0.31547043,0.7966886,0.19006239,0.5317796,-0.23129967,-0.20612462,-0.31775525,0.26061127,0.14813764,0.5444419,-0.19967736,0.5061213,-0.15939182,-0.22248255,0.39967072,-0.56005555,-0.02779783,0.02110558,0.20024592,-0.41569847,0.3881227,0.010271644,-0.15689953,-0.665314,0.6573801,-0.19799146,-0.12075821,0.09494213,0.04541565,-0.043950483,0.12108421,-0.10590834,0.0022323402,0.37487704,0.29019845,-0.5370117,0.32285562,0.3595148,-0.047304805,-0.57370573,0.5361166,-0.23199011,0.5272679,-0.23677044,0.21183184,-0.20180668,0.17202789,0.20595928,-0.4244997,0.10019255,0.20770687,0.17131719,-0.26463726,-0.086859845,0.06558041,0.28917277,0.13041373,0.37267813,-0.06113118,0.23357524,0.22644007,0.14636254,-0.21361032,0.07028025,-0.44260278,-0.14061673,0.4216799,-0.35650736,-0.28660437,0.516063,-0.5196065,-0.019205626,-0.12104406,0.22651209,0.66278714,0.060424585,0.63149947,0.23507954,0.15332377,-0.4081256,0.38263237,0.36464146,-0.007952012,-0.095551915,0.055583704,0.017185546,0.26449433,0.14519897,0.13063195,-0.3259582,-0.28957132,0.20662275,-0.2547833,0.021776289,0.48417944,-0.16974504,0.39692193,0.07422072,-0.0129003,0.14402126,0.13878478,0.15790473,0.021418098,-0.1155046,-0.074266605,-0.33450276,0.34686562,0.21015897,0.37402397,0.21733686,-0.41546044,0.30493203,0.30160043,0.19823347,-0.09609833,0.013275268,-0.501805,-0.23425098,-0.6266451,0.15656695,0.8402183,-0.18012479,0.5057301,-0.1840127,0.06335949,0.21325815,-0.18258402,-0.21163248,-0.030010955,-0.17299026,-0.6725796,-0.3980632,0.32756636,-0.22037683,0.2552003,0.25919983,0.08961353,-0.09513847,-0.17138715,0.19726199,0.056152433,0.090260506,-0.20029466,-0.2841416,-0.29427356,0.48466364,0.18130438,0.32738653,0.13529173,-0.24789499,-0.14854297,-0.37351528,0.41575694,0.30106482,0.3321992,0.3891156,0.0389998,-0.34229723,-0.027438127,0.057257954,0.31134665,-0.19216168,0.10807605,0.0047991686,0.039302785,0.42722762,-0.18020207,-0.42739862,0.13741012,-0.56630206,-0.052347973,0.18773907,-0.31718358,0.093655095,-0.17469734,0.58809483,-0.016880155,0.15792413,-0.13321593,0.22865318,0.19192213,-0.30385432,0.4657807,-0.22725849,0.010951519,0.10666034,-0.00726433,-0.33319393,-0.10270933,0.6482612,-0.091884814,0.18184997,0.11075969,0.06965342,0.44092235,0.1343179,-0.27419117,-0.69613177,0.22766767,-0.61781317,-0.31646714,0.10906896,0.4797834,-0.18852974,-0.2989325,-0.041115977,0.21947993,0.06579769,0.13326186,-0.4223556,0.20330976,-0.7098261,0.051500976,0.030203171,-0.030679967
sarcoma,-0.102285326,-0.21694057,0.14413911,-0.09369761,-0.1620196,-0.14573784,0.091358125,0.13580118,0.33323023,0.09122911,0.28428933,-0.25175634,0.2324035,-0.019970397,-0.07363923,0.2271385,0.15485817,-0.026924971,0.039929822,0.096385,0.13203649,-0.01563965,0.08140899,-0.053221464,-0.19336572,0.01271525,-0.02395122,-0.2359231,-0.31999633,0.08249595,-0.1844125,-0.42841515,-0.542215,-0.0995742,0.074952826,-0.3296148,0.12132887,0.2338124,0.017333027,-0.4524078,-0.063606024,0.2300097,0.5808663,0.13857476,0.3877209,-0.16864072,-0.15028569,-0.23167573,0.19001202,0.10800739,0.39695325,-0.14558469,0.3690134,-0.11621272,-0.16221216,0.29140016,-0.4083368,-0.020267544,0.015388044,0.14599946,-0.30308586,0.2829805,0.0074890326,-0.11439558,-0.48508105,0.47929642,-0.1443558,-0.088044904,0.06922243,0.033112608,-0.032044318,0.08828255,-0.077217795,0.0016276233,0.27332312,0.21158381,-0.3915355,0.23539422,0.2621225,-0.03448992,-0.41828927,0.39088297,-0.169144,0.3844314,-0.17262934,0.15444669,-0.14713731,0.12542571,0.150165,-0.30950296,0.07305041,0.1514393,0.12490749,-0.19294725,-0.06332969,0.04781477,0.21083601,0.09508483,0.2717199,-0.044570725,0.17030014,0.1650977,0.10671314,-0.15574348,0.051241428,-0.3227021,-0.10252378,0.30744717,-0.2599297,-0.20896356,0.37626186,-0.37884545,-0.014002827,-0.08825334,0.1651502,0.48323867,0.044055652,0.46042654,0.1713966,0.11178845,-0.2975647,0.2789775,0.2658604,-0.005797703,-0.06966692,0.040526077,0.012529999,0.19284299,0.10586454,0.09524389,-0.23765635,-0.21112645,0.15064915,-0.18576267,0.01587703,0.35301554,-0.12376131,0.28939602,0.05411441,-0.009405752,0.10500597,0.10118814,0.1151284,0.015615855,-0.084214464,-0.054147776,-0.2438864,0.2529001,0.15322685,0.27270135,0.15846047,-0.30291253,0.22232607,0.21989699,0.14453211,-0.07006528,0.009679068,-0.3658666,-0.17079268,-0.45688745,0.11415304,0.6126039,-0.1313291,0.36872846,-0.134164,0.04619549,0.15548658,-0.13312228,-0.15430138,-0.021880915,-0.1261274,-0.49037835,-0.29022822,0.23882894,-0.1606771,0.18606685,0.18898281,0.065337285,-0.06936552,-0.12495855,0.1438238,0.040940706,0.065808944,-0.14603516,-0.20716779,-0.21455498,0.3533687,0.1321891,0.23869777,0.09864127,-0.18074043,-0.108302735,-0.2723304,0.3031286,0.21950662,0.24220684,0.28370452,0.028434804,-0.24956928,-0.02000513,0.04174678,0.22700317,-0.14010501,0.07879832,0.003499088,0.028655708,0.31149197,-0.13138555,-0.31161672,0.100185804,-0.41289115,-0.038166996,0.13688062,-0.2312588,0.068284005,-0.12737197,0.42878032,-0.012307436,0.115142524,-0.09712785,0.16671136,0.13993059,-0.22154044,0.33960086,-0.16569428,0.0079850005,0.077766135,-0.0052963337,-0.24293195,-0.074885435,0.4726479,-0.06699326,0.1325869,0.08075499,0.050784357,0.32147697,0.09793149,-0.19991283,-0.5075503,0.16599268,-0.4504481,-0.2307363,0.07952227,0.34981057,-0.13745715,-0.21795197,-0.029977629,0.1600229,0.047973134,0.09716117,-0.30793983,0.1482331,-0.5175348,0.037549328,0.022021193,-0.022368914
