disease,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
leukemia,-0.91564715,-0.589671,-0.14494492,1.4289144,-0.2926759,-0.6135806,-0.9314855,0.7613407,0.48403376,0.061116986,-0.5732986,-0.028103083,-1.3279532,-0.78055435,0.874998,0.21539529,-0.9866707,0.201614,0.4068095,-0.8209792,0.19853996,0.7104728,0.5587608,0.9668178,0.52470237,-1.0569215,0.21009558,0.027285352,-0.90935904,0.16300257,-1.2373301,0.030792497,-1.1404841,-1.055951,0.6818712,1.3584822,-0.6868209,0.6831534,0.04142972,0.32606104,0.13612802,0.62462145,-0.8752754,-0.71124405,0.48933238,-0.5650375,0.43338138,-0.30880997,-0.8354093,-0.59247893,-0.35376847,-0.10837438,-0.95930433,0.67325115,1.413879,0.953283,-1.5550488,0.39086136,0.97181726,-0.66044503,0.6826008,0.19814874,0.36293852,-0.37162554,0.76986533,0.8884927,1.2230084,-0.86529016,-0.17806353,-1.169819,-1.0596753,0.46114218,-0.31366885,-1.2295414,-0.7814156,1.2639768,0.029777916,-0.3074969,0.7076441,1.1662185,0.2993722,0.68859446,-0.29108316,-0.931828,1.2406574,0.8945439,0.913166,0.6835589,0.088697754,-1.1101685,1.2673779,-0.8536656,0.30618185,-0.07094494,0.20506406,-0.5575239,0.30642077,0.35006392,1.2877984,-0.3464507,-0.040188022,0.7069427,-0.9067718,-0.55826646,0.67794794,-0.084884614,0.96353006,-0.12721299,1.2342349,1.0441072,1.0565779,1.0202245,-1.168639,-0.43571052,0.52147055,-0.3176156,-0.022030864,-0.85476357,-0.82902503,-0.049272284,-0.43869957,0.2653685,-0.12746859,1.5707861,0.045247257,0.6319731,-0.7079046,-1.3440361
kidney renal papillary cell carcinoma cancer,-0.87822,-0.5675085,-0.13890035,1.3736007,-0.28050926,-0.59045637,-0.8962659,0.7317881,0.46555477,0.0576509,-0.5514978,-0.026235983,-1.2759696,-0.7505709,0.84167826,0.20633489,-0.9485452,0.1933611,0.3940589,-0.7907983,0.18988359,0.68207186,0.53729284,0.92819464,0.5050476,-1.0166276,0.20242766,0.025042597,-0.8733997,0.15740055,-1.1906285,0.031229403,-1.0952135,-1.0152954,0.6551947,1.3052151,-0.6608798,0.65828824,0.040594686,0.31350598,0.12963893,0.59989476,-0.83937526,-0.6828604,0.4699419,-0.54332495,0.41626287,-0.29636812,-0.8017504,-0.5696264,-0.34063593,-0.10400682,-0.92374367,0.64803976,1.3585747,0.91652316,-1.4919955,0.37719807,0.93518853,-0.6347408,0.6566693,0.19070613,0.34847605,-0.35769698,0.7398715,0.8551448,1.1749445,-0.8304329,-0.1706362,-1.1248598,-1.0185862,0.44430336,-0.3009141,-1.1822677,-0.75146407,1.2154583,0.02871313,-0.29615206,0.6810284,1.1216532,0.28735405,0.6618405,-0.27897188,-0.89714104,1.1934558,0.85991305,0.8773789,0.6554537,0.08481308,-1.0656433,1.2171352,-0.8201732,0.29284984,-0.06838873,0.19583516,-0.535034,0.2949107,0.33617276,1.2361337,-0.33412683,-0.03834159,0.67969865,-0.8737232,-0.53826076,0.65051746,-0.08127511,0.9255852,-0.12102106,1.1846627,1.0001228,1.014652,0.9805585,-1.1233867,-0.41854933,0.5019756,-0.30587205,-0.02034399,-0.8223463,-0.7967973,-0.046764202,-0.4211453,0.25546184,-0.123782896,1.5094736,0.04322148,0.6080632,-0.6807599,-1.2932587
oral squamous cell carcinoma,-1.3095074,-0.8448571,-0.20328903,2.0514038,-0.4151024,-0.8776142,-1.3370188,1.0906552,0.69192344,0.09047186,-0.8201065,-0.034977473,-1.9051888,-1.1187388,1.255325,0.31300804,-1.415191,0.28486297,0.594993,-1.1794018,0.28847322,1.0161419,0.7995166,1.384434,0.7513698,-1.517005,0.29842246,0.032864913,-1.3110813,0.24033262,-1.7766185,0.042358473,-1.6343865,-1.5151085,0.97503155,1.9487123,-0.9841365,0.9902784,0.0654868,0.46464,0.19813243,0.89314526,-1.253774,-1.0170958,0.6985023,-0.80863047,0.6183879,-0.44784084,-1.1949444,-0.84783655,-0.5052273,-0.15828823,-1.3784249,0.9654578,2.028845,1.3672833,-2.2279441,0.56948155,1.3953121,-0.94535047,0.9780985,0.28089184,0.51699674,-0.5307096,1.1027256,1.2755426,1.7537535,-1.2375214,-0.250735,-1.6790478,-1.5188266,0.6604843,-0.4457175,-1.7651033,-1.1201727,1.8148084,0.03848989,-0.4384907,1.0241327,1.6737754,0.43447387,0.98586744,-0.4128051,-1.3383437,1.7820112,1.2822745,1.3085167,0.97617877,0.13123277,-1.5892825,1.816943,-1.2227994,0.44257128,-0.10691352,0.2973427,-0.7956588,0.43677273,0.4985982,1.8452592,-0.49564478,-0.05278784,1.0127411,-1.3036289,-0.808584,0.96873826,-0.12588628,1.3802342,-0.1764113,1.7681295,1.4916669,1.5127954,1.4629303,-1.6768358,-0.62156343,0.74667126,-0.4528944,-0.025836831,-1.2247316,-1.1864434,-0.074275374,-0.6256537,0.38702855,-0.19013119,2.254672,0.06894796,0.9036137,-1.013903,-1.9314319
hepatoblastoma cancer,-0.40846053,-0.2689241,-0.06792804,0.6417769,-0.13301566,-0.2809843,-0.4217645,0.3438313,0.22113274,0.020764738,-0.2617023,-0.014675186,-0.59543765,-0.35317522,0.3958691,0.090506874,-0.4446297,0.093123004,0.18381807,-0.3740418,0.08231395,0.3192856,0.25404584,0.43303782,0.23991732,-0.47736767,0.09908675,0.013647364,-0.40039465,0.07000357,-0.5599953,0.021685718,-0.5107359,-0.47589666,0.3088107,0.6090525,-0.31266853,0.30393767,0.015918937,0.14992054,0.054032363,0.28181133,-0.38812143,-0.319951,0.22180882,-0.2567632,0.19688304,-0.13267599,-0.37433237,-0.26896933,-0.1634782,-0.04551456,-0.43566883,0.3065975,0.63377416,0.42988753,-0.69189113,0.1733198,0.4400891,-0.29872328,0.3101755,0.09318052,0.16521975,-0.17124686,0.3473966,0.40300947,0.5484846,-0.38789403,-0.08251658,-0.526997,-0.47799188,0.2123714,-0.14284715,-0.55351704,-0.35362336,0.5690648,0.017666034,-0.14296786,0.31312558,0.5264376,0.12848687,0.31141907,-0.1322846,-0.42320123,0.5595196,0.40359086,0.41077372,0.3056173,0.034517072,-0.49697632,0.56714576,-0.38429093,0.1291491,-0.02787388,0.084500015,-0.25139293,0.14186692,0.15963316,0.57486933,-0.16131243,-0.02151632,0.31999564,-0.41329727,-0.25017387,0.30425,-0.03316544,0.4331544,-0.058141857,0.5510999,0.46229017,0.47446653,0.45919248,-0.525671,-0.19826348,0.23865041,-0.14760105,-0.01213488,-0.3886658,-0.37530708,-0.016576275,-0.19874863,0.11493564,-0.055325903,0.7039689,0.015580129,0.28934345,-0.32114616,-0.6066208
Hodgkin lymphoma cancer,-0.6407174,-0.41667002,-0.10298887,1.0038244,-0.20590796,-0.43410635,-0.6565577,0.5357445,0.3420526,0.038962446,-0.4050778,-0.02032069,-0.93207014,-0.54977876,0.6164477,0.14778657,-0.6939242,0.14266257,0.288062,-0.5803177,0.1354919,0.49869043,0.39416963,0.67791253,0.37111124,-0.7441848,0.15022212,0.019182045,-0.6343843,0.113315284,-0.8720539,0.026493084,-0.7998075,-0.7427569,0.480137,0.9534102,-0.48496366,0.47938475,0.028203141,0.2308354,0.09137881,0.4391229,-0.61123216,-0.49941885,0.34451807,-0.39852715,0.30537477,-0.21365264,-0.58568436,-0.41770062,-0.25114092,-0.07445586,-0.6772282,0.47556025,0.99230886,0.6706376,-1.0875275,0.27431232,0.6850839,-0.46493515,0.4816123,0.14142303,0.25583488,-0.26349965,0.5415371,0.6267515,0.8583538,-0.60672224,-0.12605403,-0.8227891,-0.74541795,0.32716414,-0.22098602,-0.86459154,-0.550452,0.8888738,0.02311404,-0.21876834,0.49522308,0.8209348,0.20708095,0.4847598,-0.20477754,-0.65775347,0.8731937,0.62933207,0.64157414,0.47856483,0.059393503,-0.7781925,0.88862544,-0.5998899,0.210064,-0.047955036,0.13951916,-0.3916378,0.21758527,0.24693011,0.90188515,-0.24686211,-0.029797375,0.49794382,-0.64120954,-0.39282775,0.47546175,-0.056968305,0.67671597,-0.08914238,0.8644109,0.7281191,0.7416256,0.7171036,-0.8213676,-0.30720547,0.368953,-0.22591728,-0.016116744,-0.6032432,-0.58379936,-0.03149373,-0.30871746,0.18450995,-0.0893036,1.1024364,0.029259467,0.44703418,-0.49905726,-0.94639754
adrenocortical carcinoma cancer,-0.48979396,-0.3183928,-0.080750205,0.764387,-0.15912133,-0.33246735,-0.50037867,0.4091429,0.26209056,0.027873566,-0.3101134,-0.017972797,-0.71020204,-0.41968182,0.47004467,0.110331476,-0.5291071,0.11084302,0.2147411,-0.44205838,0.101056226,0.38140875,0.3015817,0.5176358,0.28380993,-0.56707734,0.11620491,0.017448347,-0.47992593,0.08327127,-0.6643315,0.021698883,-0.6101564,-0.56610996,0.36752245,0.7265745,-0.37049043,0.36067826,0.018642407,0.17758852,0.06776033,0.33604038,-0.4661798,-0.38205916,0.26425132,-0.30484608,0.23437314,-0.16019599,-0.4477944,-0.31951705,-0.19280598,-0.055240814,-0.5156187,0.36298636,0.75592077,0.5113882,-0.8294705,0.20508564,0.5219519,-0.35543928,0.36787355,0.10961766,0.19675946,-0.20225988,0.41360238,0.4776278,0.65441823,-0.4639657,-0.098330386,-0.6268479,-0.5688759,0.25028196,-0.17043528,-0.65851605,-0.4201149,0.6768981,0.019831128,-0.16831261,0.3731315,0.62557906,0.15511759,0.37049517,-0.15826333,-0.5010501,0.66475165,0.4802354,0.4896598,0.36650643,0.04305746,-0.5943636,0.6775699,-0.45806754,0.15788858,-0.03396874,0.10426764,-0.30035388,0.16742863,0.1899607,0.687963,-0.18925528,-0.025122304,0.38033667,-0.48803723,-0.29601684,0.36398628,-0.04118909,0.5166489,-0.070648015,0.6595544,0.5569621,0.5664707,0.546896,-0.62591386,-0.23587045,0.28220865,-0.17381737,-0.014970791,-0.46082842,-0.44643018,-0.021944033,-0.23702866,0.13750069,-0.064756595,0.83951104,0.020124061,0.34249482,-0.38134548,-0.7201238
prostate adenocarcinoma cancer,-1.9823854,-1.2732705,-0.3047751,3.1009936,-0.6261827,-1.321587,-2.0178432,1.6469656,1.0424777,0.14306809,-1.2357823,-0.051114354,-2.8809729,-1.688707,1.8948729,0.4789914,-2.1378982,0.42832643,0.8979241,-1.7777046,0.44251907,1.5360162,1.2057312,2.094059,1.1317949,-2.2906232,0.4467016,0.04858959,-1.9893776,0.36612624,-2.6815088,0.05656296,-2.4721649,-2.288772,1.4716015,2.9468727,-1.4837134,1.4993511,0.10133697,0.69917464,0.30622134,1.3490387,-1.9001656,-1.5371588,1.0540957,-1.2195947,0.9327846,-0.6825797,-1.8073512,-1.278982,-0.7594237,-0.24220265,-2.0790222,1.4554274,3.0681324,2.065235,-3.3743138,0.86266345,2.105744,-1.4271362,1.4751598,0.4207331,0.7795507,-0.7981953,1.6654693,1.924368,2.6519132,-1.8715905,-0.37677678,-2.5366137,-2.2940516,0.99342823,-0.6720604,-2.6669772,-1.6908146,2.742025,0.054229192,-0.65828955,1.5523157,2.527631,0.66232115,1.4883285,-0.62272835,-2.01858,2.691529,1.9366716,1.9775003,1.4771746,0.20333248,-2.4041803,2.7486675,-1.8477023,0.6769277,-0.16524525,0.45665956,-1.2019958,0.65629613,0.7515508,2.7929041,-0.7438269,-0.076662876,1.5286075,-1.9647596,-1.2225541,1.4647993,-0.1948995,2.086159,-0.26595247,2.6760445,2.2615519,2.287046,2.210566,-2.534054,-0.9372691,1.1245167,-0.6799843,-0.037132815,-1.8468809,-1.7907844,-0.11746629,-0.9442832,0.5888928,-0.28897613,3.4097486,0.10861858,1.3608092,-1.5296863,-2.9167159
head and neck cancer,-2.6310186,-1.6896845,-0.4017833,4.1190815,-0.82877964,-1.7527959,-2.6795917,2.1860912,1.3824936,0.19266395,-1.6391923,-0.06466923,-3.8263185,-2.241683,2.5160203,0.63934404,-2.8388286,0.5660546,1.1983817,-2.3608308,0.5908363,2.0382218,1.5996245,2.779859,1.5016072,-3.0420089,0.5908265,0.060931474,-2.6468785,0.4902591,-3.561266,0.072780676,-3.2824895,-3.0394547,1.9522169,3.9137056,-1.9690872,1.9971825,0.13827714,0.92626476,0.40943748,1.7898022,-2.523378,-2.0395932,1.3976703,-1.618114,1.2366127,-0.9101324,-2.39852,-1.6969191,-1.0065341,-0.32371423,-2.7613907,1.9319379,4.07512,2.7422786,-4.4808464,1.1507272,2.7965183,-1.8938113,1.9578432,0.5562274,1.0329381,-1.0579925,2.2106304,2.5554664,3.521607,-2.483657,-0.49741518,-3.3689208,-3.0455215,1.3178443,-0.8899059,-3.5423036,-2.2445784,3.6421185,0.06901263,-0.8719824,2.0671577,3.3567505,0.88329923,1.9751368,-0.82419384,-2.680789,3.5752482,2.5711284,2.6253097,1.9596285,0.27309164,-3.1913645,3.6500795,-2.4526975,0.90222937,-0.2228927,0.60947543,-1.5939134,0.8693548,0.9957528,3.7085528,-0.98611087,-0.09861244,2.0288658,-2.6097405,-1.6278297,1.9433168,-0.2618984,2.7693682,-0.34977227,3.5531507,3.0012982,3.035747,2.9352086,-3.3653843,-1.2424253,1.4918798,-0.9007226,-0.045847174,-2.4511206,-2.3762014,-0.15888499,-1.2517809,0.7861993,-0.3879936,4.5292425,0.1472302,1.8046547,-2.0300608,-3.8747864
aryngeal squamous cell carcinoma cancer,-1.5135489,-0.97199047,-0.23472875,2.3645732,-0.47981828,-1.0096267,-1.5390583,1.2570337,0.7965273,0.10732198,-0.943957,-0.04148534,-2.1972654,-1.2887108,1.445507,0.3630552,-1.6308913,0.32882074,0.68002623,-1.3556701,0.33533168,1.1729276,0.92081934,1.5982056,0.86422116,-1.7470375,0.3424211,0.039911218,-1.5138195,0.2761556,-2.0449693,0.044623252,-1.8862182,-1.745752,1.1240382,2.2476387,-1.132551,1.1389009,0.07442687,0.5349426,0.23170403,1.0303392,-1.4496963,-1.1738932,0.80568427,-0.93134105,0.71311,-0.5179975,-1.379975,-0.976697,-0.58063304,-0.18323308,-1.5851954,1.1106349,2.3398273,1.5754939,-2.5743806,0.6539827,1.6059337,-1.0896235,1.1259677,0.322738,0.59637827,-0.6102384,1.2711937,1.4677242,2.022954,-1.42911,-0.2896476,-1.9345288,-1.7505207,0.75864667,-0.5146277,-2.033771,-1.2902343,2.0908883,0.043578856,-0.50367516,1.1796947,1.9278185,0.50247496,1.1362433,-0.47718626,-1.5393729,2.0521688,1.4777668,1.509008,1.1284982,0.15288597,-1.835054,2.0968435,-1.4101843,0.5141315,-0.123455696,0.34626523,-0.91868985,0.5021743,0.57500523,2.1308782,-0.56843746,-0.06088998,1.1667566,-1.4979048,-0.9290848,1.1188924,-0.14643204,1.5920986,-0.20557985,2.0418973,1.7270571,1.7456795,1.6864448,-1.9327322,-0.716633,0.85871464,-0.52027863,-0.031026753,-1.4097458,-1.3673935,-0.087547556,-0.721993,0.446042,-0.21708694,2.6000454,0.0806768,1.0397205,-1.1677336,-2.223502
medullary thyroid cancer,-1.699867,-1.0929432,-0.26227182,2.659478,-0.5376735,-1.1347512,-1.7312715,1.4130144,0.89501524,0.12113142,-1.0608977,-0.044600446,-2.4706535,-1.4489331,1.6257404,0.40925565,-1.8338988,0.36816424,0.7696255,-1.5256596,0.3778629,1.3175998,1.0348693,1.7958813,0.97166044,-1.965067,0.38428667,0.04235833,-1.7041055,0.3129332,-2.300594,0.05026708,-2.1200507,-1.9632939,1.2628534,2.5271683,-1.2734568,1.2846743,0.08597095,0.60056764,0.26096806,1.1574556,-1.6287537,-1.3186558,0.9046889,-1.046735,0.8006801,-0.58385366,-1.5501137,-1.097654,-0.652423,-0.2068876,-1.7839439,1.2491533,2.631094,1.7716315,-2.8927982,0.73885274,1.806678,-1.2245545,1.265997,0.36192778,0.6692756,-0.68562907,1.4288408,1.6512069,2.274294,-1.6052539,-0.3239672,-2.1758103,-1.968013,0.85318244,-0.5770713,-2.2875288,-1.4507371,2.3518925,0.047672994,-0.56576616,1.3298017,2.1683354,0.56647867,1.2770381,-0.534706,-1.732122,2.308737,1.6614362,1.6962321,1.2668892,0.1730251,-2.0618153,2.3570418,-1.5849844,0.57860935,-0.14056756,0.3898677,-1.0313568,0.5639376,0.6452958,2.394736,-0.6392228,-0.06677689,1.3116215,-1.6861657,-1.0479249,1.2564766,-0.16585948,1.7894087,-0.22868362,2.2945905,1.9386156,1.961657,1.8961406,-2.173481,-0.80460733,0.9654618,-0.5843974,-0.032677718,-1.5850699,-1.5366675,-0.09936015,-0.8104563,0.50378054,-0.24698517,2.9239762,0.09191424,1.1684368,-1.3127072,-2.5019407
colon adenocarcinoma cancer,-0.43364716,-0.2833289,-0.07211784,0.6780644,-0.1413333,-0.29606593,-0.44465607,0.36329377,0.23325746,0.023262674,-0.27596998,-0.016228259,-0.62972015,-0.37282735,0.41760334,0.096551776,-0.46965325,0.09876014,0.191146,-0.3934056,0.088166036,0.3382406,0.2681486,0.45877057,0.25268403,-0.5036474,0.10407005,0.015574658,-0.4240532,0.07334729,-0.5903147,0.021017205,-0.54079527,-0.50252926,0.3264747,0.6442101,-0.32956192,0.31961626,0.016126636,0.15821959,0.05854523,0.29825845,-0.4122647,-0.33888635,0.23473908,-0.27102432,0.20829047,-0.1408611,-0.3968598,-0.2840039,-0.17200828,-0.048362054,-0.45855787,0.32293996,0.6702272,0.45399538,-0.7341059,0.18170671,0.46385646,-0.31568682,0.3271019,0.09808674,0.17490916,-0.1803301,0.3671819,0.4246133,0.5802508,-0.41122606,-0.08764221,-0.5564153,-0.5050224,0.22318964,-0.15148102,-0.5844474,-0.37323305,0.60078245,0.01844021,-0.15033334,0.33019242,0.55553305,0.13637446,0.32905877,-0.14056808,-0.44558173,0.5902493,0.42635605,0.43442205,0.3246039,0.037092824,-0.5266949,0.6004733,-0.4064433,0.1382116,-0.02938377,0.09082316,-0.26649398,0.1493985,0.16892691,0.60931814,-0.16915372,-0.022917392,0.33788648,-0.43439957,-0.2627136,0.32266,-0.035524543,0.45828623,-0.06267924,0.58417636,0.49224457,0.5023326,0.48529908,-0.5553818,-0.20969072,0.25130457,-0.15523264,-0.01359358,-0.4098123,-0.39657146,-0.018296486,-0.21051039,0.12119884,-0.057252303,0.7443329,0.016887937,0.30496928,-0.3389414,-0.6395614
familial ovarian cancer,-3.4968615,-2.2472377,-0.53086627,5.481228,-1.0987968,-2.3300014,-3.5656447,2.9071846,1.8374093,0.25831658,-2.1790442,-0.08177683,-5.090574,-2.9815946,3.3474786,0.85358286,-3.7766037,0.7496361,1.6036425,-3.1424103,0.7887182,2.709121,2.1265705,3.6961815,1.9968096,-4.047809,0.7838021,0.07601299,-3.5263605,0.65739733,-4.7393494,0.09568229,-4.365522,-4.0439596,2.5947423,5.206598,-2.6188953,2.6652508,0.1887727,1.2298928,0.5467278,2.378817,-3.3553393,-2.7108436,1.8566996,-2.1512628,1.6425661,-1.2145106,-3.1880705,-2.2559626,-1.3374299,-0.43283078,-3.6757493,2.5701067,5.421883,3.648153,-5.958644,1.5379598,3.721572,-2.5178814,2.6039135,0.7374325,1.3713236,-1.4057578,2.9396837,3.4007013,4.684473,-3.3010998,-0.658019,-4.482745,-4.0507236,1.7526135,-1.1805313,-4.7137113,-2.98561,4.846758,0.088558055,-1.1581415,2.7572193,4.466516,1.1789551,2.6261935,-1.092673,-3.5679739,4.758366,3.4198613,3.4914958,2.6033995,0.36633402,-4.2429852,4.85497,-3.2615817,1.2026654,-0.30055383,0.8130927,-2.117189,1.1544785,1.3219109,4.931896,-1.3110459,-0.12737909,2.6981275,-3.4745078,-2.1718967,2.5822442,-0.35156432,3.6827235,-0.46042007,4.724923,3.987573,4.0363364,3.9044836,-4.4775915,-1.6501756,1.9838228,-1.1962917,-0.056401845,-3.259936,-3.1590881,-0.21407339,-1.6624286,1.0509372,-0.5220224,6.026629,0.19896103,2.3986878,-2.6995716,-5.157815
ER negative cancer,-0.40857124,-0.26716176,-0.068384126,0.6385794,-0.1335185,-0.27933088,-0.41896364,0.34239405,0.2200706,0.021367732,-0.26031965,-0.015744103,-0.5930794,-0.35137847,0.39349693,0.090345256,-0.44246998,0.09344686,0.17936125,-0.3707343,0.08243618,0.3188042,0.25287423,0.43222284,0.2383249,-0.47448638,0.098474264,0.015153889,-0.39856136,0.068490736,-0.55615366,0.020339541,-0.5094135,-0.47340998,0.30785522,0.60673976,-0.31072125,0.3002279,0.0146505525,0.14942016,0.054574765,0.28119245,-0.3881692,-0.31943977,0.22144037,-0.25557044,0.19652905,-0.13203879,-0.37398812,-0.26780006,-0.16241346,-0.045198463,-0.43203688,0.30443394,0.63119376,0.42773584,-0.6912988,0.17046112,0.43703216,-0.2976001,0.30837056,0.09283477,0.16510749,-0.17024717,0.34605214,0.40010208,0.5465506,-0.38754693,-0.08299556,-0.52412546,-0.47588688,0.21057855,-0.1430659,-0.5504882,-0.35175103,0.56585884,0.017876402,-0.14203556,0.3101749,0.52335864,0.12780426,0.3101894,-0.13279745,-0.4198509,0.5559452,0.4017547,0.40931946,0.30596223,0.03439087,-0.4962295,0.5655598,-0.3830023,0.1295139,-0.027126769,0.084930375,-0.2513379,0.14113289,0.1594788,0.5738764,-0.15972592,-0.022090323,0.31848672,-0.40931118,-0.24692155,0.30415398,-0.03292509,0.43181908,-0.05948888,0.55022925,0.463694,0.473341,0.45720527,-0.52314276,-0.19787714,0.23703945,-0.14666235,-0.0133005,-0.3863623,-0.3738822,-0.016699534,-0.19861566,0.11351647,-0.053349555,0.70093274,0.015387714,0.28774768,-0.31953335,-0.6023565
B cell lymphoma cancer,-1.7536627,-1.1263504,-0.2705876,2.7418418,-0.55476385,-1.1694522,-1.784363,1.456787,0.92252684,0.12561113,-1.0934628,-0.04638242,-2.5475085,-1.4936311,1.6757306,0.42243898,-1.8906295,0.37977225,0.7917698,-1.5719264,0.39022487,1.3589013,1.0667772,1.8521875,1.0013132,-2.0255332,0.39584905,0.044307325,-1.7574397,0.322284,-2.3711028,0.05078239,-2.186359,-2.0239446,1.3020765,2.6058311,-1.3124651,1.3236289,0.088250116,0.6190706,0.2698511,1.1935838,-1.680406,-1.3599592,0.9329222,-1.0790114,0.82562995,-0.6023102,-1.5988708,-1.1315523,-0.672237,-0.21344596,-1.8382308,1.2872931,2.7129173,1.8263878,-2.9840908,0.76095366,1.8620151,-1.2625201,1.3048677,0.37293822,0.69019544,-0.70653373,1.4731685,1.7016923,2.3451424,-1.6557403,-0.33425507,-2.2429845,-2.0289626,0.8789507,-0.5952513,-2.3581698,-1.4954554,2.4244776,0.04902757,-0.5828934,1.3706311,2.2351172,0.58436394,1.3166062,-0.55170965,-1.7849114,2.3797376,1.7128587,1.7489965,1.3070643,0.17872655,-2.1265612,2.4307318,-1.6343045,0.59749603,-0.14488272,0.40279096,-1.0637882,0.5811333,0.6654291,2.4699714,-0.6583159,-0.06894962,1.3521305,-1.7371383,-1.0794928,1.2960546,-0.17126226,1.8451797,-0.23645648,2.366709,2.0007558,2.022981,1.9549426,-2.2407866,-0.8296462,0.9948997,-0.60210437,-0.034116514,-1.633703,-1.5842837,-0.10286724,-0.83584523,0.51925,-0.2539703,3.0148406,0.09499332,1.204221,-1.3531623,-2.5786755
B-cell non-Hodgkin lymphoma cancer,-0.9166571,-0.59090644,-0.14495495,1.43158,-0.29284155,-0.61480504,-0.9334489,0.7626698,0.48492238,0.06100382,-0.5743916,-0.027782712,-1.3302314,-0.78202075,0.8767588,0.2157055,-0.98849213,0.2017322,0.40872142,-0.82297844,0.19873975,0.71143645,0.55977106,0.9681842,0.52580845,-1.059055,0.21052419,0.026822697,-0.911006,0.16368714,-1.2399788,0.031250034,-1.1422141,-1.0579574,0.6829519,1.360781,-0.68822736,0.6851441,0.041895434,0.32658717,0.13612087,0.62553006,-0.8762646,-0.7122176,0.49000397,-0.5660615,0.43398452,-0.3093809,-0.8364721,-0.5935274,-0.3545076,-0.108607166,-0.9615673,0.6747124,1.4163284,0.9550633,-1.5570214,0.3922409,0.9739095,-0.661557,0.6839568,0.19847815,0.3633829,-0.37236437,0.77117455,0.890441,1.2250296,-0.86638767,-0.17810468,-1.1720803,-1.0615609,0.46223924,-0.31394997,-1.2319227,-0.7829079,1.2664547,0.029734116,-0.30813992,0.70941925,1.1685413,0.2999472,0.6897729,-0.29124367,-0.93396837,1.2432269,0.89615506,0.91467613,0.684226,0.08885075,-1.1116763,1.2693384,-0.8550541,0.30642805,-0.071277015,0.20517266,-0.5581735,0.30699918,0.35050714,1.2895924,-0.3473494,-0.040039502,0.70823234,-0.9090878,-0.55996144,0.67875,-0.08506961,0.9650588,-0.1269168,1.2359278,1.0448499,1.0581449,1.0220287,-1.1707889,-0.43632618,0.5225783,-0.31827188,-0.021671668,-0.8564751,-0.83042496,-0.049299464,-0.43923765,0.26614103,-0.12826094,1.5735635,0.04537061,0.6331997,-0.7092274,-1.3469455
squamous cell carcinoma cancer,-0.54119897,-0.3523633,-0.08820556,0.8468542,-0.17493014,-0.36755407,-0.55436355,0.45267844,0.2896296,0.031489268,-0.34285197,-0.01848334,-0.7864541,-0.46450615,0.5205817,0.12314003,-0.5858622,0.121599495,0.24093659,-0.49007368,0.11275879,0.42150894,0.33345324,0.5724794,0.3139937,-0.62821656,0.12796405,0.017630998,-0.53306234,0.09392028,-0.7361645,0.023697613,-0.6751482,-0.6269853,0.4061606,0.8045074,-0.41003075,0.40213904,0.022244398,0.19587065,0.07566267,0.37133864,-0.5156008,-0.42219403,0.2917062,-0.33709595,0.25866655,-0.1785868,-0.49488056,-0.35329515,-0.21297517,-0.06187485,-0.5716794,0.40193802,0.8371817,0.5662436,-0.9175778,0.22945258,0.5783758,-0.39306006,0.40712482,0.12055078,0.21692303,-0.2234014,0.4575671,0.5292374,0.7244442,-0.5127114,-0.10764889,-0.6944031,-0.6296121,0.2769693,-0.18760382,-0.7295676,-0.46504143,0.7500082,0.02089308,-0.18576084,0.41553998,0.692991,0.17301184,0.4097701,-0.17397642,-0.5553626,0.7367576,0.5315454,0.5418265,0.40460283,0.048658982,-0.65721536,0.74992776,-0.5067502,0.17557134,-0.038937695,0.11616482,-0.33147854,0.18472087,0.20941783,0.76113725,-0.20931762,-0.02656009,0.42082623,-0.5413188,-0.32989135,0.40200347,-0.04663181,0.5715619,-0.07658599,0.7296058,0.61491257,0.6264688,0.6054415,-0.69320995,-0.26028624,0.31220773,-0.19182755,-0.015045546,-0.50998783,-0.49363196,-0.025165169,-0.2614963,0.15390599,-0.073657595,0.9299388,0.02328956,0.37855458,-0.42189923,-0.7983937
